title,type,tile_image,description,Number-tl,Number-tr,SELF
"Spartacus, the Untamed",cat,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUTEhIVFhUXGBcXFRcXFRgYFxcXFhgXFxgdGBceHSggGBolHRUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OFxAQFy0fHR0tKy0rLS0tLSstKy0tLS0tKy0tLS0tLS0tKystLSstLS0tKy0tLS0tLS0tKy0tKystK//AABEIALcBEwMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAABAgADBAUHBgj/xAA8EAABAwIEAwUHAwMEAQUAAAABAAIRAyEEEjFBBVFhBnGBkfAHEyKhscHRMuHxFEKCI1JichcVM0Nj0v/EABkBAQEBAQEBAAAAAAAAAAAAAAABAgMEBf/EACERAQADAAEFAAMBAAAAAAAAAAABAhEDBBIhMUEiUWET/9oADAMBAAIRAxEAPwD2oRUamhaQAEYRCMIgKIwigCCIUKigooigAmdLc00LTY7tLRpPLHBxI1gLKwXHMPUjLUaDydY/NTYb/wA7ZuNiAopaJTKsFQdMGNdpTqAIgAKQioCgUBNCKkIpVCjlQcgqoau7/srlVQ37/sroQCFAipCAJGMjc+K1vEu02EoOyVKzA6QMsyQTzA08VnYHH0q7c9J7Xt0zNMi2t0D1TA0mfXknIRhCECOMbeSJRhSEClCEypouJJlsXgX1H2VDFo5KJkUFZnZM1YeH4vh3GG16ZP8A3Crr9oMIz9WIpD/IE+QQbKFFp29qcIWlzahcB/tY8nyiVML2qwdQgCrDjaC1wPzCg3ARSUK7HyWODu4g/wAKyECqQiQoQgVavtNj3UaDns1sAeUmJW2AWHxjBirRfTdaQYPI6g+aktVzY1yXF8UbnJqvOc3k7g9fNNTxLHfpcD0B7loOO0S2pO92nlLT68lqnuvLZB7/AKHksdmw9k9TNJzPDoeD4rWpGadR3KJBHOIMjdek4X22Nm12f5M+7fx5Lk+F428Rm+IeR81tmcapESJnlFxGt1MtDffwckfl4dvwWOpVhNN7XDob+I1CySFwF3HqrHB1MERobg+YWzr+0HG5A0EDk6JMFbiZ+vFelYn8Z12uFIXHG+0rGtcHOZTIhocLiSNSDtI8oTYj2l4s2FNg6yTuNvD5q6547FChC5Vwz2qPYMuIoZuTmESddWnw32VPE/apVc4e4ohrQQfjMk6zIGgVXHW4QcFx4e1LF2ilT33d1WZ/5Vq52zhwKf8Ad8UuNtrQL/JTTHUaI171flXOG+1OgM2WjUNzEkCRfrbbzXjO0ntFxleWsf7pnKmSDraX6+UIO54zF06TS6o9rGi5LiAPmuX9t/aY1wdQwRJBBD61xzEU/wD9eWsjl2Mx1WqZq1H1D/zcXR5lUAFDF1WuTvJ1J5nmvaeyDF1Rj/dtksex+cZoaMoBa4jczA/yXjsPSle+9jfCM+LqYg/potgdX1AQI7m5vMIrsyWExQVZLCEJiogWEEyU9EAURlRBwmhi24jFgMzhlQgNBLGlroF9C3LIPWOqx6P+piBTMAlxZ8bpAcJGrGt3ECByWMabqxqVXOphzniKYs57nn+xgFgOa2eC7KVns94XtDZi2Yn9JcMpgB2kSDF0UGYSqKgApPLQf/sDDO5DmyPEbI8SxNNrhTNMh4IzHOAfpHK8bdV63EdmXNyspvayCwurPrVHVyegEBgJkDmph+GYipVqu9045QGtdWeSyoNJaWm5LYh1t5ug8ph8VVpuzmplfYiD+od7TG2+q9lR7Z16QY6pkqNcOTmkdztwhisI1kNLhTeb1Gh1gzSYzGZMAfSyw34mu2mS17KjAQACGnXYCfjidj3AoPW8O7YYaqLk0z/yHw+Dh94W9oVmvGZjmuHNpBHyXNf6hhH+pSZrZzAQPKLeatwdBjXZ6Fd1F+sF0h3eDqPEoOkLUdpMwpEtJC1OF7WPpmMSwFuhqUrx/wBm7L0ra9KvSJpuD2kagz/BURxHtPStm7j9j9V5ys0G4Xsu2tAsdliAZF15Sk6bEDks19Ol/OSwc3NLKvxNGFiytMMujinNssqlWkX5+votZKtp1osg2VVpsZ6FM5gNgVif1YNuWiswz7m/OOWh/KDKNAQOo9fQqkULevXJX0q7b323H05Kh2IBmBe8X0/KBsgHr11Qq1QLwN/2VNTEmZgaeu5YVSpKCVcRrssdyZyQoI0LLoUpWMwLMouHd4Iq1zYELuXsxwoZw2iQwNL8zzAgmXHKTzOUNv0XDcTVmAO6+gX0H2OLBgcM1kwKTB8QANhBJA6ykEtugSiQoqyCCMKIAlKaEjXg6GYse8IIgmUQfNXCeJNp1WPeHENM/DE/Oy93he3OGcWsIyUmQAA34TEAW2Gh8DzXLZRBUadbq8fpEg02lwdkOd7jlbDiZgFzuhEahXO4vScB7yvXqN/tpYZjqQN9zIe4TbUBcjpV3NIIJ8/NZlHidRs5XOBNzBPKPO6I6tVxtJ0e5ptpMsXVA1pebw4NJ/U6BBdOUc3XjCxvG6NNg9yxpc/NfOJGomcpPmQOkLmv/qVTTMeUTtYRHKwWP746SUHU+D1ahd8WKY4ZZeCe7R02uCJE72ssjHOFSpNABzIAccoyOqBwByWkgNzSRa4gzK5GK7tJPmt9wPtZiMObOlvWLdx5dNEHr8W6HgPIpxEAElxvYi0lpm4kn6qrEurUne9w7vdvGppmWO726c7HyWvx/balX926pTLXtP6mm43BFoInY/wuI7V5jmawA87coImNwik4/wBoDiWD3rGioNSJAd4bFeefUDA0jfXfQ8k1fFSZc6fXQLErVQQR4goDXqTz7lhvKc1LJHN3KIDLokquUSUFjXKwVFjgpw5BcHK3PEHu9fVY4qWjqoHoL3OB6KkpcyKAFIQnKCoVW0iFHDu9fVBo6KC3JJ29fdd07IvIpMbs0ADwC4hhnhrmuIJAIMaadeS7v2Voh1Jr23DgCDzBUlXpmmyiICkKslIM625QojChCAIQiUCgWFE0qIPlGEEVEaREFSVCUDNcilCkoHCDkECUBaFsGsgDXra6xMK2Ss42N9PqiKa4VOXmrnvvy9bKqo6SikKao7r66pXHokIRAcgU3RCUCpgUwbKAQRFInYJQAFNNvuiWJd0BLlA2UaeswshptafJBU1nVMwRqskCNQB3iPDS6rc0gyI5+pQB7CN11r2NYqo6lUY69NhGXoXSSB038Vy4sOvhc6L3Xsi4p7vEvoGIqNkc8zdusgnyQdfKCaEIVQqihUUAQRKhCBVFCoqPlEKEKBMVGgUQRQEKBQKBBFCgUUD0jdZLahuFhtWRmJCAE8kgTi5j5JXCLEeBlAwYhUV9IgjRVPQUlFoQUCItD/FNVpgaevBbzB1aNZjWAMpVm2AJDWVQeTjZtTvifp6rh/s6ZUo+8xD3UXQXWykNaN3HQ+azNoj2b5xzWqNLfuiGWF7mbcu/5+Sy8ThgC5rXEta45TEZhMB0bbLGptutC3IYVGS5vzWdmDe8rFYPiQe57O9hjUwoxIqNc936GWyjKSCCdQ+09NO7a9n+Af05qVsWG06YH90HTcxvaANST5+OwHHa+Ga4UKxZmMkQHA7TDgQDp5LEx3Gq+IINeq+rGgJAaDzytgblc8tOwTEbp+N4wVaznsaGtc4lrdIbPwiOcRPWVS4AjTvVLR0P0/lO0FoOklbiMWVoaQI/KOFxjqNRlVhhzCCCLx5+rqoHn91VXeqju3ZntgzEFtN4yvOhkZTaRvY9F6orhfDnxTZBMi9rRGnjZdl4Fj/f0GVJkkfF/wBhqs1tvh6efiitYtH1nJUcqgW3lKomhKgCKkqIPlAIoIqNAooogiiiCApgkTAoArmmQqXJqRuiGBT+8NgTIGxvHdyQdY2P1/CRFW033sr3NB9ElYYKupukIFqtA0+kKtwWQ6n6lUlqBVlUcW8NyZ3hv+0OOW//ABmCsYhSURk/1PMTYj19VSx0JE7wRZBYwxrfolF1GoEwgbP11VtGkT/HqU9LCkiVczD2M+HrmglMg+HT91KjoOyApgHW3UoNAmTfu2+aAztPruVFWZhXVInePXRVUmkvtfndFh67hjSKQBjTddS7BvJwoBj4XOA8b/UkeC5hgmAsHPe+q6Z2Dqzh4Goe6fkdFyp7e/qYzhh6bwSwExSldnzgKEKZkCgEqKKIPlFFQKKNAioFEAQRQQREIFQIIVAVFERe0yO7VJPRKx5GidwBuEAKgRaeiCKubVLrE99x91IHVUAp2VEFtanBsNdN0lMkaEg9DCyw8PADRJAvdV+4MjS/WECe7JvM9b3O6aAYE3TGQNvDU+KV1Au0HSOfciMvD4djtXaD14Ja7abdBI5zqlw9Fzf1A9OnoJmsDiGnT77fUoLeH4idfA/SVfUv8WnmeWm6sp4cNHwgR1MwOaqxFTKDFyTEaj5+SDCq1xeI120VWf1CLqmksbpH9wPebgSi6q3dh8HH7yikNbqfJZfDaMuCxmhpNp8fyPwvQcHwhHxFs6RH18uizach24Kd1obVrI1IsvU9ieKe6qlj3Q1/kHaann+F5seNx6EoZYiIifyuMTkvq8nHF69rtZHVLA5LzPZPtGKsUan/ALgsDs4D7wvUEL0ROvi3pNJySuCVyKBVYCFFFEHymaLhMtIjW2myWF9MYnsphqhLn0mnMIMix7wsQ9hsEKZaMOy5kmJPS/SAsa3j5xAPJGF2riHswp1Jc15Dyb2GWBsBt+yswvs0oNvUl8NI1yjNtYXv3q6jh8qLo/8A4vrkw1u5vNst4g7mIWt457OsVRpurHKWgyQNQ3YwmjxYQW9p9l65w767WnIDqRrGscysWvwDEtbnNCplAEkNJAnSY0VGsUV1bB1GDM5jmjm5pH1VIaZhBE9N8dyUN23mLK40Q0w65/2jbvP2HmERA3lc7fwiaPMgdNT5CfnCYOMawOQ37z/JQbWj9MDruUU7cON58SGj7/UaphUYP9vgD+CD5rFqE7qU2yQPogyBiLzr/iB91mUMS0kAtkTa8TqLE28Vgvc0aXPPUeA38f3RGskye/6lBtqlNhkZcpMSM0/x4q2lRaIMEOPM2EcucLUNaWze3TuIH18iUzJtfy/HmiM6oSCQeREbDoef7LF/Qb6HmjTLh38ze3RXGq47jqABHPayih/VACNeW4+e/wCVjVsRMh2msjX10UqGNd0jDOqoAbbp60TNZIsfBPTZGunPknBjQSef171FiNPgcPLw0QvXUqdrNEeh8J8VqeE4EyL/ABEWAtyi5W2s0c4Ik6d466G65WnZfU6Xi7a+QdRLZEaedoTZTHTlHrn8+5V+8i/7n90xI1AJiDvbwWXp8LMPULSHNJDgZBGoIXWeAcUGJoNqD9WjxycNfXVcidfx9W9bL0/s+4gKeINIkxVECdMzZI+VvFapOS8nVcXdXfsOh1HxYCSpB3KsKUrs+WQuUULlFUbF9CdkopiOqzQR5ovpN5Lm6sFtFuuhUfBEFohXup8kGUQgx6QdoPBUVGzLXNBm0QtiKLhKSpSk5ig139E2A3KMo0BFh4JGGs4OYAxjRYOaBJ8NFtaTAdUnuwCAPFEeKq8BxtwzElokxmAfr32tqnx3ZxlXC1KeIYypXyucx7WNZJg5dBrovZOab/hKKeaTA9ck0x890+wOLI/RL7ZhyGkZtzH43WNxTsBjab2t92XZm5jl07i7n0X0T7i+kT3aJalPWYHSdQrqY+WK3Cq7W5nUqjct3Sx2UN2JMQPFY7OHViJbTcQNYBMd6+p6uDY9hDmtIIIPcdQVU3h1ICBTaO5oGojlyTTHy4MO+JLTpa2unyvqnGGdFgbm5HT6eK+ncVwTCvaA+k13eB61CpodnMMAWikwMNoyiCOo8U7jHzCaZBuDbXv/ACradJ93ZTA1MW6D5iy+lzwGkGZDRpluzco3vyT0uCMd/wDEwC1i0XI0tG0nzTuMfNAeYv8APnMeaQDkY77ev3X0rxLgdGpSNOpQYaZmwYIk3MRoZ3C8jT9m2G965xBLS0hrNmgiJvNxsncY43nfz6Sgajoi/r+Quov9lh+LLXOnwk98mRpEbDml7S+zl7qofhmsbSyQWizmua2LeIG+5KbCY5ewTqmDwF6TF9gcUwtBbOZ+RuW9+uwBkXVGM7JYmmQDRqEubmbDSfC29j8uaujU4YF1gDdbvBcJyw58zqAfnrqs3hPAqzW/6lF7HT/cxzT8+5Z76Lm/qzSIAkyRvpsIXO0vo9Nw1mNlSKcuDZ5iw6b9FYabtY3me6DpygjbdRrQS2ed9iJ19SiBBsOcdOZ+ZXN74V7wdR5eXrZLIjeeXPkryN940Gm/7JRERPzv9UJVPMXafWn5VuFrOpua9tnNIIPUIPBFvqqnOMHpp4a/UKw52h2/D1g9jXtuHNDh4ifumK8x7PuIe8w2QmXUjl/xN2/ceC9MV6I8w+JyV7bTBVFJUVYbx9PzTNZJhXQLwmZSsubrqo0VU2nssghK4SoqrISO5LHNZABGiVzCYVRT7vNtolygHSVl06ahpoMV9KRaYQp0gP7VlkhR1NBinDiUH0J20WQae4FlMh1hBi/07QCZ+SqFHxWe9sjS6FKnKmjXf017pXUBJAHitnVw/I3Stoka6Ko1nu+iYMcDIsD9VsjQgpMRSgRE8kVr3A84VX9OJ2nWd1nVKZ3UbQCDWnDg/UkIVsNAsZC2NTDbA77IvwzhE6DUqYNTTw40PPRSrhzBBlbL3EDSQdCqjSH8piMEUnhsNdI5OGYHzutbiuAYesc76Xu33Bc27TIImP7St49sWi/TRQETbRRqJzzEuc4jsbVBIBBbtJ5aW+XRascDrBzhk+MXy9NSeXLz711kgcu7oqjRb46aKZD0V6rkj+uNOEaiO7XfT1sqoGk8p+V/XVdG4p2Up1C4tBBkEQYA52XhuJ8NqUnZXgjkbmVmYe7i5638fWHViLR02kbKlxt66J3A7x+yqd+/h6+qOkvW+zjG5a76ZP622/7Nv9C9dFK4twzFmlWZUGrXAz43HlK7QutJ8Pl9ZXL7+ywohm6Iro8b1ApxujPJFRc2wzIQFFEUSFDTUURNQtQc0oqIarLSmYYUUUaWQCg+wMKKKs/SNapkgqKKSuiRCdxCiiITomNMKKKkqX0pCqaLaKKI0BpjmldJEKKKBmMEAbKipho/KKiDGfTkJX0N9BCiiqKMxm9+SJAPQ78lFFFK5wBiViY/htOvd7QSPVuSiiDnfaPhQo1HBt2HSdungvP1GwTIEaKKLE+31eC82pGqe7w+q7JwLEe8w1F3NgnvAg/MKKLfH7efrfUMtRRRdXzX/9k=",,1,FF,
"Selena, Agent of Mischief",cat,https://vetstreet.brightspotcdn.com/dims4/default/e2de648/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F32%2Fa5ef70a33311e087a80050568d634f%2Ffile%2FPersian-6-645mk062211.jpg,,1,CC ,
"Polly, Samurai Cat",cat,https://i.pinimg.com/originals/67/ea/fb/67eafbc4045519c47f0009ef3b2db8f0.jpg,,1,TT,
"Lorenzo, Divine Muse",cat,"https://ih1.redbubble.net/image.311481406.2763/flat,550x550,075,f.u2.jpg",,1,F,
Vanilla,cat,https://i.pinimg.com/originals/88/24/d4/8824d49d4f2cab653133d153ff070549.jpg,,1,C,
Chocolate,cat,https://i.pinimg.com/originals/dd/23/49/dd23490a5b76f104afe0e9faab4d7de6.jpg,,1,T,
Strawberry,cat,https://previews.123rf.com/images/isselee/isselee1712/isselee171200155/91808967-close-up-portrait-on-a-ginger-cat-white-background.jpg,,2,WWF,
Chocolate Swirl,cat,https://i.pinimg.com/originals/83/72/be/8372be967c4a1664053fb99cb313b7d4.jpg,,2,FCC,
Spotty,cat,https://image.shutterstock.com/display_pic_with_logo/1171229/384769147/stock-photo-unusual-spotted-multicolor-cat-with-green-eyes-384769147.jpg,,2,FCT,
White Bread,cat,https://www.thesprucepets.com/thmb/5Z5WAqlqp0um9gWQ4KmFwlpfmbA=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/twenty20_e47b3798-dd9b-40b1-91ef-1d820337966e-5aa3f798642dca00363b0df1.jpg,,3,FFF,
"Elektra, Goddess of War",cat,https://catzone-tcwebsites.netdna-ssl.com/wp-content/uploads/2017/10/badass-cat-names-4.jpg,,2,CFF,
No More Meatzche,cat,https://pbs.twimg.com/media/CyX9-OOWEAEq8vw.jpg,,1,F,
